SC_backup,BackupCat,backupDescrip
155,"BOLT,MACHINE",STEEL;GALV;HEX HD;M8;ISO M;30 MM LG; W/HEX NUT;FULL-SIZE SHANK;BOX OF 200;  
158,"BOLT,MACHINE",STEEL;GALV;HEX HD;M8;ISO M;50 MM LG; W/HEX NUT;FULL-SIZE SHANK;BOX OF 150;  
158,"BOLT,MACHINE",STEEL;GALV;HEX HD;M8;ISO M;50 MM LG; W/HEX NUT;FULL-SIZE SHANK;BOX OF 150;  
164,"BOLT,MACHINE","STEEL;GALV;HEX HD;M10;ISO M;25 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 150,PACK WEIGHT 5.40 KG; "
164,"BOLT,MACHINE","STEEL;GALV;HEX HD;M10;ISO M;25 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 150,PACK WEIGHT 5.40 KG; "
165,"BOLT,MACHINE","STEEL;GALV;HEX HD;M10;ISO M;30 MM LG; W/HEX NUT,FULL SIZE SHANK;Pack of 100;  "
165,"BOLT,MACHINE","STEEL;GALV;HEX HD;M10;ISO M;30 MM LG; W/HEX NUT,FULL SIZE SHANK;Pack of 100;  "
168,"BOLT,MACHINE",STEEL;GALV;HEX HD;M10;ISO M;50 MM LG; W/HEX NUT;FULL-SIZE SHANK;75 PER PACK;  
168,"BOLT,MACHINE",STEEL;GALV;HEX HD;M10;ISO M;50 MM LG; W/HEX NUT;FULL-SIZE SHANK;75 PER PACK;  
169,"BOLT,MACHINE",STEEL;GALV;HEX HD;M10;ISO M;60 MM LG; W/HEX NUT;FULL-SIZE SHANK;BOX OF 75;  
169,"BOLT,MACHINE",STEEL;GALV;HEX HD;M10;ISO M;60 MM LG; W/HEX NUT;FULL-SIZE SHANK;BOX OF 75;  
172,"BOLT,MACHINE","STEEL;GALV;HEX HD;M10;ISO M;75 MM LG; W/HEX NUT;FULL-SIZE SHANK;Pack of 50,  "
172,"BOLT,MACHINE","STEEL;GALV;HEX HD;M10;ISO M;75 MM LG; W/HEX NUT;FULL-SIZE SHANK;Pack of 50,  "
173,"BOLT,MACHINE","STEEL;GALV;HEX HD;M10;ISO M;90 MM LG; W/HEX NUT TO BE FITTED TO BOLT,FULL-SIZE SHANK;BAG OF 50,PACK  WEIGHT 3.70 KG; "
