CU Number,Status,Type,Type Description,Description 1,Description 2,Creation Date,Modified Date
1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABS CONST'N - MID POLE (CONC. POLE),1,24/06/1999,24/06/1999
1-500-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,O.F. HOOK BOLT TO WOOD POLE,1-500-1,12/06/2001,19/11/2015
1-500-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,O.F. SUSPENSION (MED SPAN-WOOD POLE),1-500-2,12/06/2001,19/11/2015
1-500-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,O.F. DIELECTRIC SUPPORT TO WOOD POLE,1-500-3,13/06/2001,19/11/2015
1-500-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,O.F. DIELECTRIC SUPPORT TO CONCRETE POLE,1-500-4,13/06/2001,19/11/2015
1-501-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,O.F. DOWNLEAD CUSHION TO WOOD POLE,1-501-1,13/06/2001,19/11/2015
1-501-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,O.F. DOWNLEAD CUSHION TO CONCRETE POLE,1-501-2,13/06/2001,19/11/2015
1-501-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,O.F. SAFETY HOOK TO CONCRETE POLE,1-501-3,13/06/2001,19/11/2015
11/NC3T,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV PIN/NORM.INSUL. 7/.104 CU TIGHT,11/NC3T,21/10/1991,21/10/1991
11A,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV STRAIGHT LINE & ANGLE CONSTRUCTION,11A,1/12/1989,19/11/2015
11A/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV STRAIGHT & ANGLE CONSTN NORM INS,11A/N,1/12/1989,19/11/2015
11A/N/CCT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ANGLE CONSTRUCTION / NORM INS CCT,11A/N/CCT,22/11/2006,6/07/2022
11A/NCCT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ANGLE CONSTRUCTION / NORM INS CCT,11A/NCCT,6/10/2010,19/11/2015
11A/NCCTLOK,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ANGLE CONST CCT LOK,11A/NCCTLOK,26/09/2007,6/07/2022
11ABC/A,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC ANGLE CONSTRUCTION,11ABC/A,9/02/1996,19/11/2015
11ABC/CS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV SHACKLE ABC CONCRETE POLE,11ABC/CS,24/09/1988,19/11/2015
11ABC/CSU,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV SUSPENSION ABC CONCRETE POLE,11ABC/CSU,24/09/1988,19/11/2015
11ABC/CSUA,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV SUSPENSION ANGLE ABC CONCRETE POLE,11ABC/CSUA,24/09/1988,19/11/2015
11ABC/CT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV TERMINATION ABC CONCRETE POLE,11ABC/CT,24/09/1988,19/11/2015
11ABC/CTRS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV TRANSITION SHACKLE ABC CONC POLE,11ABC/CTRS,24/09/1988,19/11/2015
11ABC/CTRT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV TRANSITION TERM ABC CONCRETE POLE,11ABC/CTRT,24/09/1988,19/11/2015
11ABC/CXS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV CROSSCHECK SHACKLE ABC WOOD POLE,11ABC/CXS,24/09/1988,19/11/2015
11ABC/OW,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC TO OPEN WIRE CONSTRUCTION,11ABC/OW,16/02/1996,19/11/2015
11ABC/S,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC SHACKLE CONSTRUCTION,11ABC/S,9/02/1996,19/11/2015
11ABC/S120,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC SHACKLE CONSTRUCTION 120 SQMM,11ABC/S120,26/03/2012,19/11/2015
11ABC/S35,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC SHACKLE CONSTRUCTION 35 SQMM,11ABC/S35,26/03/2012,19/11/2015
11ABC/T,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC TERMINATION CONSTRUCTION,11ABC/T,5/07/1995,19/11/2015
11ABC/T120,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11ABC TERMINATION 120 SQ MM,11ABC/T120,12/03/2012,19/11/2015
11ABC/T35,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11ABC TERMINATION 35 SQ MM,11ABC/T35,12/03/2012,19/11/2015
11ABC/TO,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC TEE OFF CONSTRUCTION,11ABC/TO,19/02/1996,6/07/2022
11ABC/TRS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV TRANSITION SHACKLE ABC WOOD POLE,11ABC/TRS,24/09/1988,19/11/2015
11ABC/TRT,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV TRANSITION TERM ABC WOOD POLE,11ABC/TRT,24/09/1988,19/11/2015
11ABC/XS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC CROSSCHECK CONSTRUCTION,11ABC/XS,9/02/1996,19/11/2015
11ABC/XS120,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC CROSSCHECK CONSTN 120SQMM,11ABC/XS120,28/03/2012,19/11/2015
11ABC/XS35,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC CROSSCHECK CONSTN 35SQMM,11ABC/XS35,28/03/2012,19/11/2015
11ABC120/OW,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV 120 ABC TO OPEN WIRE CONSTRUCTION,11ABC120/OW,27/04/2010,19/11/2015
11ABC35/OW,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV 35 ABC TO OPEN WIRE CONSTRUCTION,11ABC35/OW,27/04/2010,19/11/2015
11ABC70/OW,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV 70 ABC-OPEN WIRE *maintenance only*,11ABC70/OW,27/04/2010,19/11/2015
11ABCJ1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OW-11ABC X-ARM JOINT WITH ARRESTERS,11ABCJ1,12/03/2012,19/11/2015
11ABCJ120,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11ABC OH JNT 120MM 3 PHASES,11ABCJ120,19/04/2012,23/11/2022
11ABCJ2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11ABC X-ARM JOINT UPRIGHT STYLE,11ABCJ2,12/03/2012,19/11/2015
11ABCJ3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11ABC X-ARM JOINT SIDE JOINT STYLE,11ABCJ3,12/03/2012,19/11/2015
11ABCJ35,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11ABC OH JNT 35MM 3 PHASES,11ABCJ35,19/04/2012,23/11/2022
11ABCJ70,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11ABC OH JNT 70MM 3 PHASES,11ABCJ70,19/04/2012,23/11/2022
11ABCSU/120,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC SUSPENSION 120 SQMM,11ABCSU/120,12/03/2012,19/11/2015
11ABCSU/35,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ABC SUSPENSION 35 SQMM,11ABCSU/35,12/03/2012,19/11/2015
11ABSUMPLP,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV MID OR TOP MTG - PLP,11ABSUMPLP,8/05/2014,19/11/2015
11AM/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV ANGLE METRO CONSTR / NORMAL INSUL.,11AM/N,1/11/1994,19/11/2015
11BP,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV BRIDGING POST (TRIDENT),11BP,15/06/1994,19/11/2015
11BRCCTAL,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV 120MM CCT AL BRIDGE AL MAINS LONG,11BRCCTAL,19/04/2012,19/11/2015
11BRCCTAL/3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV 120MMCCT AL BRIDGE AL MAINS LONG X3,11BRCCTAL/3,19/04/2012,19/11/2015
11BRCCTAS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV 120MM CCT AL BRIDGE AL MAINS SHORT,11BRCCTAS,19/04/2012,19/11/2015
11BRCCTAS/3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV 120MMCCT AL BRIDG AL MAINS SHORT X3,11BRCCTAS/3,19/04/2012,19/11/2015
11BRCCTCL,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV 120MM CCT AL BRIDGE CU MAINS LONG,11BRCCTCL,19/04/2012,19/11/2015
11BRCCTCL/3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV 120MMCCT AL BRIDGE CU MAINS LONG X3,11BRCCTCL/3,19/04/2012,19/11/2015
11BRCCTCS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV 120MM CCT AL BRIDGE CU MAINS SHORT,11BRCCTCS,19/04/2012,19/11/2015
11BRCCTCS/3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV 120MMCCT AL BRIDG CU MAINS SHORT X3,11BRCCTCS/3,19/04/2012,23/02/2023
11BS,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV BRIDGE SUPPORT CONSTR (5 PINS),11BS,24/06/1994,19/11/2015
11BS1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV BRIDGE SUPPORT CONSTR (6 PINS),11BS1,19/04/1994,19/11/2015
11CCT1350,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV CCT 120 SQMM 1350 grade AAC XLPE,11CCT1350,13/02/2008,19/11/2015
11CCTSSA,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV CCT SHACKLE SURGEARRESTORS SPECIAL,11CCTSSA,22/04/2021,22/04/2021
11D/S,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV DEVIATION / SHORT ARM (3PH),11D/S,24/09/1988,24/09/1988
11DCI,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV DOUBLE CCT INTERMED STRUCT NO INS,11DCI,7/08/2003,19/11/2015
11DCI/2NDFDR,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11 DOUBLE CIRCUIT-2ND FDR-DO NOT DELETE-,11DCI/2NDFDR,1/02/2017,1/02/2017
11DCI/N,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV DOUBLE CCT INTERMEDIATE NORM INS,11DCI/N,7/08/2003,19/11/2015
11DCS7,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV DC SHACKLE 0-70 DEG,11DCS7,7/08/2003,19/11/2015
11DCS7/F,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV DC SHACKLE 0-70 DEG FOG INS,11DCS7/F,28/06/2016,28/06/2016
