CU,CHILD CU,STOCK CODE,QTY,,,,,,,,,,,,,,
1,SET152-1C,,2.00,,,,,,,,,,,,,,
1,SET253-1,,3.00,,,,,,,,,,,,,,
1,,000000253,1.00,,,,,,,,,,,,,,
1,,000002629,1.00,,,,,,,,,,,,,,
1,,000013133,1.00,,,,,,,,,,,,,,
1,,000014778,1.00,,,,,,,,,,,,,,
1,,000004724,2.00,,,,,,,,,,,,,,
1,,000014761,2.00,,,,,,,,,,,,,,
1,,000009830,3.00,,,,,,,,,,,,,,
1,,000000895,4.00,,,,,,,,,,,,,,
1,,000002593,6.50,,,,,,,,,,,,,,
1-500-1,,000017427,1.00,,,,,,,,,,,,,,
1-500-2,,000017427,1.00,,,,,,,,,,,,,,
1-500-2,,000018107,1.00,,,,,,,,,,,,,,
1-500-3,,000017426,1.00,,,,,,,,,,,,,,
1-500-3,,000017832,1.00,,,,,,,,,,,,,,
1-500-3,,000017833,1.00,,,,,,,,,,,,,,
1-500-4,,000002476,0.15,,,,,,,,,,,,,,
1-500-4,,000017833,1.00,,,,,,,,,,,,,,
1-500-4,,000018140,1.00,,,,,,,,,,,,,,
1-500-4,,000002483,2.00,,,,,,,,,,,,,,
1-501-1,,000017420,1.00,,,,,,,,,,,,,,
1-501-2,,000002476,0.50,,,,,,,,,,,,,,
1-501-2,,000017831,1.00,,,,,,,,,,,,,,
1-501-2,,000002483,2.00,,,,,,,,,,,,,,
1-501-3,,000002476,0.50,,,,,,,,,,,,,,
1-501-3,,000017833,1.00,,,,,,,,,,,,,,
1-501-3,,000018140,1.00,,,,,,,,,,,,,,
1-501-3,,000018419,1.00,,,,,,,,,,,,,,
1-501-3,,000002483,2.00,,,,,,,,,,,,,,
11/NC3T,11P/N,,1.00,,,,,,,,,,,,,,
11A,SET151-11,,1.00,,,,,,,,,,,,,,
11A,SET152-11,,1.00,,,,,,,,,,,,,,
11A,,000000253,1.00,,,,,,,,,,,,,,
11A,,000019813,1.00,,,,,,,,,,,,,,
11A/N,11A,,1.00,,,,,,,,,,,,,,
11A/N,SET155-2,,3.00,,,,,,,,,,,,,,
11A/N/CCT,11A,,1.00,,,,,,,,,,,,,,
11A/N/CCT,SET155-2,,3.00,,,,,,,,,,,,,,
11A/N/CCT,,000017799,3.00,,,,,,,,,,,,,,
11A/NAPS,11A/N,,1.00,,,,,,,,,,,,,,
11A/NAPT,11A/N,,1.00,,,,,,,,,,,,,,
11A/NAPT,,000005969,3.00,,,,,,,,,,,,,,
11A/NBAS,11A/N,,1.00,,,,,,,,,,,,,,
11A/NBAT,11A/N,,1.00,,,,,,,,,,,,,,
11A/NBAT,,000005970,3.00,,,,,,,,,,,,,,
11A/NCCT,11A,,1.00,,,,,,,,,,,,,,
11A/NCCT,SET155-2,,3.00,,,,,,,,,,,,,,
11A/NCCT,,000017799,3.00,,,,,,,,,,,,,,
11A/NCCTLOK,11A/N/CCT,,1.00,,,,,,,,,,,,,,
11A/NCCTLOK,,000000408,3.00,,,,,,,,,,,,,,
11A/NCCTLOK,,000000412,3.00,,,,,,,,,,,,,,
11A/NCCTLOK,,000001052,3.00,,,,,,,,,,,,,,
11A/NCCTLOK,,000001080,3.00,,,,,,,,,,,,,,
11A/NCCTLOK,,000001081,3.00,,,,,,,,,,,,,,
